month_date,state,maker,powertrain,registrations
2026-03-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),23
2026-04-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),42
2026-05-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),61
2026-06-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),45
2026-01-01,Andhra Pradesh,MERCEDES-BENZ AG,Electric (EV),1
2026-05-01,Andhra Pradesh,MERCEDES-BENZ AG,Electric (EV),2
2026-06-01,Andhra Pradesh,MERCEDES-BENZ AG,Electric (EV),3
2026-01-01,Andhra Pradesh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),3
2026-02-01,Andhra Pradesh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),2
2026-03-01,Andhra Pradesh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),1
2026-04-01,Andhra Pradesh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),1
2026-05-01,Andhra Pradesh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),2
2026-06-01,Andhra Pradesh,MERCEDES-BENZ INDIA PVT LTD,Electric (EV),2
2026-01-01,Andhra Pradesh,NANJING GOLDEN (IMPORTER: KALY EMOTORS),Electric (EV),1
2026-01-01,Andhra Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),209
2026-02-01,Andhra Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),155
2026-03-01,Andhra Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),219
2026-04-01,Andhra Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),297
2026-05-01,Andhra Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),346
2026-06-01,Andhra Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),229
2026-01-01,Andhra Pradesh,VINFAST AUTO INDIA PVT LTD,Electric (EV),28
2026-02-01,Andhra Pradesh,VINFAST AUTO INDIA PVT LTD,Electric (EV),9
