maker,segment,brand,parent_group,origin_country,is_passenger_car
SRI DURGA MANIKANTA WELDING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI DURGA TRAILERS,Trailer,(not a car maker),,,False
SRI GAYATHRI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI GAYATRI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI KRISHNA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI KUMAR AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SRI LAKSHMI AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SRI LAKSHMI ENGINEERING INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
SRI LAKSHMI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI LAKSHMI GANAPATHI ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI LAKSHMI GANESH ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI LAKSHMI MOTORS & ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI LAKSHMI SRINIVASA AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SRI LAKSHMI SRINIVASA STEELS,Small fabricator / workshop,(not a car maker),,,False
SRI LAKSHMI TRADERS,Other / unclassified,(not a car maker),,,False
SRI LAKSHMI VENKATESWARA ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI MANIKANTA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI PADMAVATHI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI PYDITALLAMMA AGR FABRICATIONS,Small fabricator / workshop,(not a car maker),,,False
SRI RAVI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SAI AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SRI SAI CHANDRIKA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SAI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SAI KIRAN ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SAI SUDHA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SAI VISAKHA ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SAMBA SIVA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SANKAR REDDY ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SATYA AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SRI SATYANARAYANA ENGINEERING W,Other / unclassified,(not a car maker),,,False
SRI SEETHA RAMA INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
SRI SEETHA RAMA SMALL SCALE INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
SRI SIDDHI VINAYAKA ENGINEERING WORKS AP203574,Small fabricator / workshop,(not a car maker),,,False
SRI SRI MARUTHI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SRINIVASA AUTO ENGNEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SRINIVASA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI SURYA ENGINEERING,Other / unclassified,(not a car maker),,,False
SRI VARASIDDI VINAYAKA ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VASU ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VENKATA DURGA AGRO WORKS,Tractor & Farm equipment,(not a car maker),,,False
SRI VENKATA RAMA ENGG WORKSHOP,Small fabricator / workshop,(not a car maker),,,False
SRI VENKATA RAMANA AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SRI VENKATA RAMANA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VENKATA SAI DURGA ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VENKATA SAI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VENKATA SIVA SAI AGRO IND,Tractor & Farm equipment,(not a car maker),,,False
SRI VENKATALAKSHMI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VENKATESWARA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VIJAYA SAI ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VIJAYALAKSHMI AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SRI VINAYAKA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRI VISHNU PRIYA ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SRINIVAS ENGINEERING WORKS RAYAGADA,Small fabricator / workshop,(not a car maker),,,False
SRINIVASA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRINIVASA WELDING WORKS,Small fabricator / workshop,(not a car maker),,,False
SRIRAGHAVAKRISHNASMALLSCALEENGINEERING,Other / unclassified,(not a car maker),,,False
SRISAILESWARA PRODDATUR TROLLEYWORKS,Trailer,(not a car maker),,,False
SRISAIVISAKHAAGROINDUSTRIESKRISHNA,Tractor & Farm equipment,(not a car maker),,,False
SRIVENKATASIVASAIAGRITECHENGINEERS,Tractor & Farm equipment,(not a car maker),,,False
SRIVENKATESWARAENGINEERINGWORKS,Small fabricator / workshop,(not a car maker),,,False
"SRT TRAILOR WORKS,CHITTOOR",Trailer,(not a car maker),,,False
STANDARD CORPORATION INDIA LTD,Other / unclassified,(not a car maker),,,False
STAR WELDING WORKS,Small fabricator / workshop,(not a car maker),,,False
STELLANTIS AUTOMOBILES INDIA PVT LTD,Passenger car,Stellantis (Jeep/Citroen),Stellantis,Netherlands,True
STELLANTIS INDIA PVT LTD,Passenger car,Stellantis (Jeep/Citroen),Stellantis,Netherlands,True
SUBRAHMANYESWARA AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
SUBRAHMANYESWARA ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
SUNRISE ENTERPRISE,Small fabricator / workshop,(not a car maker),,,False
SUPERIOR MANUFACTURING COMPANY,Other / unclassified,(not a car maker),,,False
SURAJ ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SURESH AGRO PROODUCTS,Tractor & Farm equipment,(not a car maker),,,False
SUZUKI MOTORCYCLE INDIA PVT LTD,2W/3W maker (misfiled),(not a car maker),,,False
SWARAJ AUTOMOTIVES LTD,Tractor & Farm equipment,(not a car maker),,,False
SWARNALATHA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SWASTIK ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
SWASTIK INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
TAFE LIMITED,Tractor & Farm equipment,(not a car maker),,,False
TATA ADVANCED SYSTEMS LTD,Other / unclassified,(not a car maker),,,False
TATA MOTORS LTD,Passenger car,Tata,Tata Motors,India,True
TATA MOTORS PASSENGER VEHICLES LTD,Passenger car,Tata,Tata Motors,India,True
TATA PASSENGER ELECTRIC MOBILITY LTD,Passenger car,Tata,Tata Motors,India,True
TESLA INDIA MOTORS AND ENERGY PVT LTD,Passenger car,Tesla,Tesla,USA,True
THIRUMALA ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
THIRUMALA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
TI CLEAN MOBILITY PVT LTD,Other / unclassified,(not a car maker),,,False
TIRTH AGRO TECHNOLOGY PVT LTD,Tractor & Farm equipment,(not a car maker),,,False
TIRUMALA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
TIVOLT ELECTRIC VEHICLES PVT LTD,Other / unclassified,(not a car maker),,,False
TOYOTA KIRLOSKAR MOTOR PVT LTD,Passenger car,Toyota,Toyota,Japan,True
TRACTOR VANDANA GREEN,Tractor & Farm equipment,(not a car maker),,,False
TRANS MECH SYSTEMS,Other / unclassified,(not a car maker),,,False
TRIMURTI AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
TRIMURTI INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
TRIMURTI TRAILER,Trailer,(not a car maker),,,False
TULJABHAWANI AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
TULSI TRAILER,Trailer,(not a car maker),,,False
TVS MOTOR COMPANY LTD,2W/3W maker (misfiled),(not a car maker),,,False
UMA INDUSTRY,Small fabricator / workshop,(not a car maker),,,False
UNIVERSAL ENGINEERING,Other / unclassified,(not a car maker),,,False
USMAN ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
V P AUTOMOBILES,Other / unclassified,(not a car maker),,,False
V R AGRO EQUIPMENTS,Tractor & Farm equipment,(not a car maker),,,False
V R WELDING WORKS,Small fabricator / workshop,(not a car maker),,,False
V.S.T. TILLERS TRACTORS LIMITED,Tractor & Farm equipment,(not a car maker),,,False
VAGHESHWARI FABRICATION,Small fabricator / workshop,(not a car maker),,,False
VAIBHAV AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
VAIBHAV ENGG. WORKS,Small fabricator / workshop,(not a car maker),,,False
VALDO TRACTORS PVT LTD,Tractor & Farm equipment,(not a car maker),,,False
VE COMMERCIAL VEHICLES LTD,Commercial vehicle,(not a car maker),,,False
VEERBHADRA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
VEGAD ENTERPRISE,Small fabricator / workshop,(not a car maker),,,False
VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),Other / unclassified,(not a car maker),,,False
VENKATESWARA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
VIDARBHA TRAILERS,Trailer,(not a car maker),,,False
VIJAY ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
VIJAY TROLLY WORKS,Trailer,(not a car maker),,,False
VIJAYA DURGA ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
VIJAYALAKSHIMI ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
VIKAS ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
VIKASH TRAILERS,Trailer,(not a car maker),,,False
VIKRANTH TRACTOR WORKS,Tractor & Farm equipment,(not a car maker),,,False
VINAYAK AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
VINFAST AUTO INDIA PVT LTD,Passenger car,VinFast,Vingroup,Vietnam,True
VINTAGE VEHICLES,Other / unclassified,(not a car maker),,,False
VISAKHA AUTO GRAGE,Other / unclassified,(not a car maker),,,False
VISHNU AGRO ENGINEERING WORKS,Tractor & Farm equipment,(not a car maker),,,False
VISHWA SANJAY TRAILOR,Trailer,(not a car maker),,,False
VISWAKARMA AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
VIVEK ENGG. WORKS,Small fabricator / workshop,(not a car maker),,,False
VOLKSWAGEN AG,Passenger car,Skoda-VW,Volkswagen Group,Germany,True
VOLVO,Passenger car,Volvo,Geely,Sweden,True
VOLVO AUTO INDIA PVT LTD,Passenger car,Volvo,Geely,Sweden,True
VRUNDAVAN ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
VST TILLER TRACTOR LTD,Tractor & Farm equipment,(not a car maker),,,False
VST ZETOR PVT LTD,Tractor & Farm equipment,(not a car maker),,,False
VYOMEV MOTORS PVT LTD,Other / unclassified,(not a car maker),,,False
WILLYS INDIA LTD,Other / unclassified,(not a car maker),,,False
WUHAN LOTUS (IMPORTER: EXCLUSIVE MOTORS PVT LTD),Passenger car,Lotus,Geely,UK,True
"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",Construction equipment,(not a car maker),,,False
XYZ1,Placeholder / unknown,(not a car maker),,,False
YASH AGRO ENGINEERING WORKS,Tractor & Farm equipment,(not a car maker),,,False
YOGI AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
YOGIRAJ ENGINEERING COMPANY,Other / unclassified,(not a car maker),,,False
