Month,State,Maker (legal entity),Powertrain,Registrations,Brand,Parent Group,Origin Country,Region,State Code,State or UT,Map Location,Month Name,Month Number,Quarter,Days Covered,Is Partial Month,Is EV
2026-02-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),114,MG,JSW-SAIC,India / China,South,IN-AP,State,"Andhra Pradesh, India",Feb,2,Q1,28,False,True
2026-03-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),144,MG,JSW-SAIC,India / China,South,IN-AP,State,"Andhra Pradesh, India",Mar,3,Q1,31,False,True
2026-04-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),195,MG,JSW-SAIC,India / China,South,IN-AP,State,"Andhra Pradesh, India",Apr,4,Q2,30,False,True
2026-05-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),143,MG,JSW-SAIC,India / China,South,IN-AP,State,"Andhra Pradesh, India",May,5,Q2,31,False,True
2026-06-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),98,MG,JSW-SAIC,India / China,South,IN-AP,State,"Andhra Pradesh, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),6,Kia,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
2026-02-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),5,Kia,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Feb,2,Q1,28,False,True
2026-03-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),11,Kia,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Mar,3,Q1,31,False,True
2026-04-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),7,Kia,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Apr,4,Q2,30,False,True
2026-05-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),6,Kia,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",May,5,Q2,31,False,True
2026-06-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),8,Kia,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),13,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
2026-02-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),4,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Feb,2,Q1,28,False,True
2026-03-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),3,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Mar,3,Q1,31,False,True
2026-04-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),6,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Apr,4,Q2,30,False,True
2026-05-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),26,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",May,5,Q2,31,False,True
2026-06-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),14,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),145,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
2026-02-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),127,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Feb,2,Q1,28,False,True
2026-03-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),206,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Mar,3,Q1,31,False,True
2026-04-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),271,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Apr,4,Q2,30,False,True
2026-05-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),295,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",May,5,Q2,31,False,True
2026-06-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),226,Mahindra,Mahindra,India,South,IN-AP,State,"Andhra Pradesh, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),2,Maruti Suzuki,Suzuki,Japan,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
